run_id,candidate_id,spike_id,success,gate_status,failure_reason,record_path,record_sha256,record_keccak256,artifact_paths,artifact_sha256,artifact_keccak256
research-sp10-h0-gas,H0,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h0-gas.json,83684faccc1fba750868f1bc05314c18ae299fe7875830a3f3e34faffb4f8b18,1d7fd0340447ef926c312d9eba2021c74474f010b8af43aad949b1ca40122e0b,"[""research/candidates/hash-compression-common/gas/results.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""05f543ef50b9d7b266e9fe089107b951108b4a1906e5fb706c92876847064afc"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""1a02f2f72bc8e6ee03492f56389f7561045c5a7e4c0e855ca1dbf695f84f8599"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h0-native,H0,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h0-native.json,f19a4b6c50653619bda2fd743bace805f8a7ca0722974a0e4e7b822207cca624,d3dff2b8793cafde88b71299e4f003a487d609f69b64eca210d0373f0ec9b70b,"[""research/candidates/hash-compression-common/native/distributions.json"",""research/candidates/hash-compression-common/security/analytical-ceilings.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""91c0663fe11ae4562755dadf7af21837ea41723fdd6005300c5eb7ae98b3e9ff"",""acd073d1fc73872ac671869ecaedaca4fe2434e0add9712326320a78ac19d6ea"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""73b7521f3f91215c9e27d4be5fce30cea2d2cc1923db76caaaf7301d6ba88e2f"",""456b7924de0239d41827f5a4de25b03dfd9b97af96a3849978c0cc1be7153fac"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h1-gas,H1,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h1-gas.json,f4bc8be88825516d6855717b70bf97c238d5ae418f217860ea36aae5599a740e,ba792e2300747547aac2a952191651bef611239c281afa7ed9b88eb04ba88677,"[""research/candidates/hash-compression-common/gas/results.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""05f543ef50b9d7b266e9fe089107b951108b4a1906e5fb706c92876847064afc"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""1a02f2f72bc8e6ee03492f56389f7561045c5a7e4c0e855ca1dbf695f84f8599"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h1-native,H1,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h1-native.json,4889ab0b09006e65c779952a0fcd55434ffdaf6b96b9239e10153673889f68fd,f928c81cdcb17d75c9c01d605967ad2fad923fa50670e1d71c07ebc77279f8f9,"[""research/candidates/hash-compression-common/native/distributions.json"",""research/candidates/hash-compression-common/security/analytical-ceilings.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""91c0663fe11ae4562755dadf7af21837ea41723fdd6005300c5eb7ae98b3e9ff"",""acd073d1fc73872ac671869ecaedaca4fe2434e0add9712326320a78ac19d6ea"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""73b7521f3f91215c9e27d4be5fce30cea2d2cc1923db76caaaf7301d6ba88e2f"",""456b7924de0239d41827f5a4de25b03dfd9b97af96a3849978c0cc1be7153fac"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h3-gas,H3,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h3-gas.json,9299565e7cae06f9238cef7c35c0d9452562bc3b2f6246f463e5c47bd03bf73f,9090c1025bad4bf90baa474d684102d4181397cd7863d4c00b74fab615bfe186,"[""research/candidates/hash-compression-common/gas/results.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""05f543ef50b9d7b266e9fe089107b951108b4a1906e5fb706c92876847064afc"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""1a02f2f72bc8e6ee03492f56389f7561045c5a7e4c0e855ca1dbf695f84f8599"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h3-native,H3,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h3-native.json,8f80451cc1f320ee1cea4625566452ac04a6e379ebac3e03eeace797a915cf61,29255b1b20a461a89de84268c9731f69dd5abde453027b9ab6855810f3b285c4,"[""research/candidates/hash-compression-common/native/distributions.json"",""research/candidates/hash-compression-common/security/analytical-ceilings.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""91c0663fe11ae4562755dadf7af21837ea41723fdd6005300c5eb7ae98b3e9ff"",""acd073d1fc73872ac671869ecaedaca4fe2434e0add9712326320a78ac19d6ea"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""73b7521f3f91215c9e27d4be5fce30cea2d2cc1923db76caaaf7301d6ba88e2f"",""456b7924de0239d41827f5a4de25b03dfd9b97af96a3849978c0cc1be7153fac"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h4-gas,H4,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h4-gas.json,5fcfc5796be3dbcbdb9978feb3431539f13bf63488192d7c2edfdb29a612a424,fb9e54e830d7e2f5093ef11e92dde71503cf27ef354d006fc79d4e9abd5f4505,"[""research/candidates/hash-compression-common/gas/results.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""05f543ef50b9d7b266e9fe089107b951108b4a1906e5fb706c92876847064afc"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""1a02f2f72bc8e6ee03492f56389f7561045c5a7e4c0e855ca1dbf695f84f8599"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h4-native,H4,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h4-native.json,8e9fc3b1c64d88dadbcbd8cbd189d4ec65ebf51d23386a6b6c6579a73fea44b0,b7602b9ed918fed0489aac298706b5343ad9d56a6593a80114c0a031599889f9,"[""research/candidates/hash-compression-common/native/distributions.json"",""research/candidates/hash-compression-common/security/analytical-ceilings.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""91c0663fe11ae4562755dadf7af21837ea41723fdd6005300c5eb7ae98b3e9ff"",""acd073d1fc73872ac671869ecaedaca4fe2434e0add9712326320a78ac19d6ea"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""73b7521f3f91215c9e27d4be5fce30cea2d2cc1923db76caaaf7301d6ba88e2f"",""456b7924de0239d41827f5a4de25b03dfd9b97af96a3849978c0cc1be7153fac"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h5-gas,H5,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h5-gas.json,171cb08dfc4cadfe77b3d2f147b2ae146eedf5715cacb1c9de6c87f11c0b7eb9,ec6604b6124999c6269171a7b22ca063d14eb252d170edc96b8c3b8e45a72a9f,"[""research/candidates/hash-compression-common/gas/results.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""05f543ef50b9d7b266e9fe089107b951108b4a1906e5fb706c92876847064afc"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""1a02f2f72bc8e6ee03492f56389f7561045c5a7e4c0e855ca1dbf695f84f8599"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
research-sp10-h5-native,H5,SP-10,true,BENCHMARK_ONLY,,research/runs/research-sp10-h5-native.json,b83e227aa1dc6c7693a3950a1138997e77cfa4d2e78aa57783bd927c50f2b477,ed2c8db55d814de4ecbfd0d463e2d7872090ba7b4057b11d454d140e9cb835ac,"[""research/candidates/hash-compression-common/native/distributions.json"",""research/candidates/hash-compression-common/security/analytical-ceilings.json"",""research/harness/hardware-detect/h1-m4-max.json""]","[""91c0663fe11ae4562755dadf7af21837ea41723fdd6005300c5eb7ae98b3e9ff"",""acd073d1fc73872ac671869ecaedaca4fe2434e0add9712326320a78ac19d6ea"",""b7313d4950b91df216f9857a30e2958713b0c5967998ef96ea064f32a90b0a82""]","[""73b7521f3f91215c9e27d4be5fce30cea2d2cc1923db76caaaf7301d6ba88e2f"",""456b7924de0239d41827f5a4de25b03dfd9b97af96a3849978c0cc1be7153fac"",""472d211cd75c3b63a3e66dfc3a1c942d2ce3ce090b4f126fe1b4d95f1a91144c""]"
