profile_id,candidate_id,formula_version,regime,adversary,batch_epsilon,conditions,m,alpha,gamma,list_size,rho,k,n,proximity_valid,strict_degree_gap,m_in_pinned_range,epsilon_dominant,epsilon_subdominant_linear,epsilon_subdominant_constant,epsilon_full,fri_commit_linear_bits,fri_commit_n_over_q_bits,air_rlc,deep_ali,fri_query,fri_commit,challenge_cap,mmcs_cap,batch,minimum_bits,error_sum_bits
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",3,0.2916666666666667,0.7083333333333333,14.0,0.0625,512,8192,True,1875.3333333333335,True,183577258.66666666,81237.33333333333,14.0,183658510.0,92.54754949457097,101.19246897845596,105.98075678339639,104.19053330146255,72.88344251723366,108.54754949457097,120.0,128.0,84.84082875835226,72.88344251723366,72.88307978271817
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",3,0.2916666666666667,0.7083333333333333,14.0,0.0625,512,8192,True,1875.3333333333335,True,183577258.66666666,81237.33333333333,14.0,183658510.0,92.54754949457097,101.19246897845596,105.98075678339639,104.19053330146255,72.88344251723366,108.54754949457097,120.0,128.0,84.84019036249009,72.88344251723366,72.8830796221923
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",3,0.2916666666666667,0.7083333333333333,14.0,0.0625,512,8192,True,1875.3333333333335,True,183577258.66666666,81237.33333333333,14.0,183658510.0,92.54754949457097,101.19246897845596,105.98075678339639,104.19053330146255,64.88344251723366,100.54754949457097,120.0,128.0,84.84082875835226,64.88344251723366,64.88344110009812
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",3,0.2916666666666667,0.7083333333333333,14.0,0.0625,512,8192,True,1875.3333333333335,True,183577258.66666666,81237.33333333333,14.0,183658510.0,92.54754949457097,101.19246897845596,105.98075678339639,104.19053330146255,64.88344251723366,100.54754949457097,120.0,128.0,84.84019036249009,64.88344251723366,64.8834410994709
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",4,0.28125,0.71875,18.0,0.0625,512,8192,True,1790.0,True,644972544.0,105984.0,18.0,645078546.0,90.73510040435669,100.82989889907125,105.61818670401169,103.82796322207784,74.56239995384601,106.73510040435669,120.0,128.0,83.02797836142871,74.56239995384601,74.55832457210325
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",4,0.28125,0.71875,18.0,0.0625,512,8192,True,1790.0,True,644972544.0,105984.0,18.0,645078546.0,90.73510040435669,100.82989889907125,105.61818670401169,103.82796322207784,74.56239995384601,106.73510040435669,120.0,128.0,83.0277412722758,74.56239995384601,74.55832390325526
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",4,0.28125,0.71875,18.0,0.0625,512,8192,True,1790.0,True,644972544.0,105984.0,18.0,645078546.0,90.73510040435669,100.82989889907125,105.61818670401169,103.82796322207784,66.56239995384601,98.73510040435669,120.0,128.0,83.02797836142871,66.56239995384601,66.56238401167117
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,quantum_grinding_only,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",4,0.28125,0.71875,18.0,0.0625,512,8192,True,1790.0,True,644972544.0,105984.0,18.0,645078546.0,90.73510040435669,100.82989889907125,105.61818670401169,103.82796322207784,66.56239995384601,98.73510040435669,120.0,128.0,83.0277412722758,66.56239995384601,66.56238400905113
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,dominant,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",5,0.275,0.725,22.0,0.0625,512,8192,True,1738.8000000000002,True,1759106389.3333333,130662.4,22.0,1759237073.7333333,89.28769723338418,100.54039228187627,105.3286800868167,103.53845660488285,75.59988724000208,105.28769723338418,120.0,128.0,81.58044527545378,75.59988724000208,75.57721831800123
R2-C0-q32-declared,R2-C0,r2-full-objective-v1,conditional-Johnson,classical,full,"[""Johnson mutual correlated agreement at the same radius for all terms"", ""Theorem parameter must match actual PCS batching objects"", ""No complete Fiat-Shamir/QROM, MMCS structural or hiding composition proof"", ""Probability-sum and full-epsilon columns are arithmetic sensitivities, not replacement theorems""]",5,0.275,0.725,22.0,0.0625,512,8192,True,1738.8000000000002,True,1759106389.3333333,130662.4,22.0,1759237073.7333333,89.28769723338418,100.54039228187627,105.3286800868167,103.53845660488285,75.59988724000208,105.28769723338418,120.0,128.0,81.5803381013033,75.59988724000208,75.5772166470855
